MarketKey;platform;market_level1;market_level2;market_level3
0b45111adcf20d4855e59ac4bf9e828a33cf2264;basic market;construction equipment;earth & rock moving;backhoe loaders
12e95d1ab6496686e505c0f7ea4064f095f08646;key market;agriculture;cereals, cotton, & feed/forage harvesting;mower conditionner - grass harvesters (self propelled)
63b1a77184053a568b1cc0191fd56cc56445bf85;undefined;material handling;undefined;undefined
c3ee13752f322bf8dd4c50704b59dc61ba5a6e33;key market;agriculture;forestry;tree harvester  (machine)
242169eedfabc4c517b0fe118cb7a4d7555596ce;basic market;environment;urban & turfcare;sweeper (attachment)
64dee5543c382d2051b10b06600f554e8fa07b77;basic market;material handling;continous handling;mobile conveyor
7b1a368246aa25d40b34281e444cccc8a8001e87;road machinery;construction equipment;road construction & maintenance;asphalt pavers
a9bdb25b31e11dcd2c7722130df06cd8a18fb4b8;truck & bus;on road;heavy commercial vehicles (> 16t);other heavy trucks (> 16t)
01333c61fd2434c3378902fee5e9f044afe3be79;key market;construction equipment;earth & rock moving;site dumpers (<6t)
33172904d07c575da2f302fdf1c5723b83e71d71;truck & bus;on road;passenger car vehicles (< 3.5t);passenger cars (<3.5t) - rear or front driven
a475ef58f998f9d87f86afe587e44a88e2a86e15;basic market;construction equipment;earth & rock moving;dumpers (>6t)
bc39dc60a6a4db887c49e90d5291ef29bc1d94ef;basic market;agriculture;forestry;aerial cableway
263d432c7a664bd43ae2a80f50deaf72f303460f;basic market;military equipment;mobile equipment;mine clearance/removal machine
4377ce977f625948fa760c3d7a3279c0454b3024;basic market;energy;oil, gas;other oil, gas equipment
91d0733f8085add68c9a0c0d4f6e119dfe67eae4;key market;construction equipment;earth & rock moving;micro excavator (<2t)
c03e32bc6f0bb940e9a4ba87078ef7e85699c55e;industrial;industry;manufacturing equipment;screw feed / screw conveyor
1cb9c7e80154ded65ee60907227e1f7dfaf7f9aa;industrial;mining & quarry;bulk / mineral handling;conveyor for underground mining
